asset_ip,candidate_name,root_domain,source_kinds,evidence_count,source_port_count,label
10.10.57.133,mail.corp.internal,corp.internal,banner;http_url;technology,1,1,supporting
10.10.40.157,ci.academy.htb,academy.htb,banner;http_url,1,1,supporting
10.10.88.98,portal.lab.local,lab.local,technology;tls_san,1,1,high_value
10.10.96.46,git.lab.local,lab.local,banner;http_url;technology,2,1,supporting
10.10.40.15,localhost,localhost,technology,1,2,noise
10.10.40.182,git.corp.internal,corp.internal,http_url;technology,1,2,supporting
10.10.93.242,ci.lab.local,lab.local,banner,1,1,supporting
10.10.37.198,login.dev.lab.local,lab.local,technology;tls_san,2,1,high_value
10.10.15.71,web02.academy.htb,academy.htb,banner;http_url;technology,1,1,supporting
10.10.62.8,git.corp.internal,corp.internal,technology,2,2,supporting
10.10.87.170,git.dev.lab.local,lab.local,banner;http_url;technology,3,2,supporting
10.10.91.11,server,server,banner;technology,1,2,noise
10.10.18.154,default,default,banner;technology,2,1,noise
10.10.45.81,nginx,nginx,banner;technology,1,1,noise
10.10.31.30,portal.corp.internal,corp.internal,tls_san,1,2,high_value
10.10.42.182,nginx,nginx,technology,2,2,noise
10.10.48.237,ci.lab.local,lab.local,technology,2,2,supporting
10.10.72.60,grafana.academy.htb,academy.htb,http_url;technology,1,2,supporting
10.10.27.123,auth.dev.lab.local,lab.local,http_location;technology;tls_san,2,1,high_value
10.10.61.101,issuer,issuer,banner;technology,1,1,noise
10.10.56.6,dc01.dev.lab.local,lab.local,http_location,2,1,high_value
10.10.92.23,dc01.academy.htb,academy.htb,technology;tls_san,2,2,high_value
10.10.18.181,default,default,banner;technology,2,2,noise
10.10.23.65,login.lab.local,lab.local,http_location;technology;tls_san,3,2,high_value
10.10.47.73,admin-gateway.dev.lab.local,lab.local,http_location;tls_san,3,2,high_value
10.10.17.141,ci.lab.local,lab.local,http_url,1,1,supporting
10.10.93.10,vpn.dev.lab.local,lab.local,technology,2,1,high_value
10.10.29.244,mail.academy.htb,academy.htb,banner;http_url,3,1,supporting
10.10.38.21,docs.academy.htb,academy.htb,banner;http_url;technology,1,1,supporting
10.10.59.67,nginx,nginx,banner,1,1,noise
10.10.71.130,ci.corp.internal,corp.internal,http_url,2,2,supporting
10.10.21.250,issuer,issuer,technology,1,1,noise
10.10.38.13,wiki.dev.lab.local,lab.local,http_url,1,1,supporting
10.10.67.207,apache,apache,technology,1,1,noise
10.10.48.21,default,default,technology,1,2,noise
10.10.81.62,api.academy.htb,academy.htb,technology,3,2,supporting
10.10.94.128,server,server,banner,2,2,noise
10.10.29.239,dc01.dev.lab.local,lab.local,http_location;technology,3,2,high_value
10.10.39.64,ci.lab.local,lab.local,http_url;technology,1,1,supporting
10.10.48.127,grafana.academy.htb,academy.htb,banner;http_url;technology,2,1,supporting
10.10.19.133,grafana.dev.lab.local,lab.local,banner,3,2,supporting
10.10.34.35,portal.lab.local,lab.local,tls_san,3,1,high_value
10.10.37.137,cipher,cipher,technology,2,1,noise
10.10.13.200,api.academy.htb,academy.htb,technology,3,1,supporting
10.10.46.215,login.corp.internal,corp.internal,http_location;tls_san,1,1,high_value
10.10.15.154,api.dev.lab.local,lab.local,banner;http_url;technology,2,2,supporting
10.10.92.43,vpn.corp.internal,corp.internal,http_location;tls_san,1,1,high_value
10.10.66.126,apache,apache,banner;technology,1,2,noise
10.10.28.181,login.lab.local,lab.local,tls_san,1,2,high_value
10.10.11.121,mail.corp.internal,corp.internal,http_url,1,1,supporting
10.10.55.142,mail.dev.lab.local,lab.local,http_url,2,1,supporting
10.10.27.241,docs.academy.htb,academy.htb,http_url,3,2,supporting
10.10.25.105,grafana.dev.lab.local,lab.local,banner;http_url,1,1,supporting
10.10.42.156,admin-gateway.dev.lab.local,lab.local,http_location;technology;tls_san,1,1,high_value
10.10.81.98,wiki.dev.lab.local,lab.local,banner;technology,1,1,supporting
10.10.33.208,sso.academy.htb,academy.htb,technology,1,1,high_value
10.10.52.130,adfs.lab.local,lab.local,http_location;tls_san,2,2,high_value
10.10.15.228,portal.dev.lab.local,lab.local,technology;tls_san,1,1,high_value
10.10.31.114,mail.corp.internal,corp.internal,banner;technology,2,2,supporting
10.10.72.204,docs.academy.htb,academy.htb,technology,1,1,supporting
10.10.94.69,localhost,localhost,technology,1,2,noise
10.10.79.220,docs.academy.htb,academy.htb,http_url,3,1,supporting
10.10.83.221,default,default,banner;technology,2,1,noise
10.10.75.68,sso.lab.local,lab.local,technology;tls_san,2,2,high_value
10.10.67.144,admin-gateway.academy.htb,academy.htb,technology;tls_san,3,2,high_value
10.10.68.253,apache,apache,technology,1,2,noise
10.10.77.57,git.dev.lab.local,lab.local,http_url;technology,2,2,supporting
10.10.23.252,workgroup,workgroup,banner,2,1,noise
10.10.29.58,localhost,localhost,banner;technology,2,1,noise
10.10.36.177,sso.lab.local,lab.local,http_location;technology;tls_san,3,2,high_value
10.10.29.142,login.academy.htb,academy.htb,http_location;technology;tls_san,3,2,high_value
10.10.78.176,docs.academy.htb,academy.htb,banner;http_url;technology,2,2,supporting
10.10.84.197,web02.dev.lab.local,lab.local,technology,1,2,supporting
10.10.10.10,wiki.dev.lab.local,lab.local,http_url;technology,3,2,supporting
10.10.29.61,dc01.dev.lab.local,lab.local,technology,1,1,high_value
10.10.10.90,docs.corp.internal,corp.internal,http_url,3,1,supporting
10.10.36.9,server,server,banner;technology,2,2,noise
10.10.86.22,adfs.academy.htb,academy.htb,http_location;technology;tls_san,2,2,high_value
10.10.51.186,adfs.corp.internal,corp.internal,http_location;technology;tls_san,3,2,high_value
10.10.13.59,nginx,nginx,technology,2,2,noise
10.10.95.80,auth.academy.htb,academy.htb,http_location;tls_san,2,2,high_value
10.10.28.79,web02.dev.lab.local,lab.local,banner;http_url,1,1,supporting
10.10.53.18,ci.academy.htb,academy.htb,http_url;technology,3,2,supporting
10.10.49.212,auth.corp.internal,corp.internal,technology;tls_san,2,2,high_value
10.10.48.69,admin-gateway.lab.local,lab.local,technology;tls_san,2,1,high_value
10.10.50.231,localhost,localhost,banner,1,2,noise
10.10.55.189,vpn.academy.htb,academy.htb,technology;tls_san,1,2,high_value
10.10.16.205,ci.dev.lab.local,lab.local,banner;http_url;technology,1,2,supporting
10.10.20.149,sso.corp.internal,corp.internal,technology;tls_san,3,1,high_value
10.10.80.252,localhost,localhost,banner,1,1,noise
10.10.76.177,server,server,banner;technology,2,1,noise
10.10.95.61,git.lab.local,lab.local,banner;http_url,1,1,supporting
10.10.92.182,default,default,banner;technology,2,1,noise
10.10.38.91,git.dev.lab.local,lab.local,banner;technology,2,1,supporting
10.10.49.202,workgroup,workgroup,technology,2,1,noise
10.10.40.229,localhost,localhost,banner,2,1,noise
10.10.56.12,api.corp.internal,corp.internal,http_url,2,2,supporting
10.10.26.219,workgroup,workgroup,banner,2,2,noise
10.10.25.246,nginx,nginx,banner,1,2,noise
10.10.23.123,dc01.corp.internal,corp.internal,technology;tls_san,1,1,high_value
10.10.19.213,mail.lab.local,lab.local,banner,2,2,supporting
10.10.41.49,adfs.corp.internal,corp.internal,http_location;tls_san,1,2,high_value
10.10.62.224,docs.corp.internal,corp.internal,banner;http_url;technology,3,1,supporting
10.10.21.77,cipher,cipher,banner;technology,1,2,noise
10.10.43.193,auth.corp.internal,corp.internal,http_location;tls_san,3,1,high_value
10.10.47.109,login.dev.lab.local,lab.local,technology,1,1,high_value
10.10.40.31,web02.corp.internal,corp.internal,banner,1,1,supporting
10.10.64.183,cipher,cipher,banner;technology,1,2,noise
10.10.52.123,cipher,cipher,banner,2,2,noise
10.10.39.191,auth.dev.lab.local,lab.local,http_location;technology,1,1,high_value
10.10.33.139,ci.lab.local,lab.local,banner;http_url;technology,1,1,supporting
10.10.50.146,mail.dev.lab.local,lab.local,banner;http_url;technology,1,1,supporting
10.10.68.21,vpn.corp.internal,corp.internal,http_location,1,2,high_value
10.10.50.146,auth.dev.lab.local,lab.local,tls_san,1,2,high_value
10.10.61.169,admin-gateway.corp.internal,corp.internal,http_location;tls_san,3,2,high_value
10.10.47.18,workgroup,workgroup,technology,2,2,noise
10.10.72.130,api.corp.internal,corp.internal,http_url;technology,2,1,supporting
10.10.29.30,cipher,cipher,technology,1,1,noise
10.10.64.247,web02.lab.local,lab.local,banner;http_url;technology,1,1,supporting
10.10.31.120,login.corp.internal,corp.internal,http_location;technology;tls_san,3,2,high_value
10.10.36.3,mail.academy.htb,academy.htb,banner,1,1,supporting
10.10.68.24,workgroup,workgroup,banner;technology,1,1,noise
10.10.25.25,docs.dev.lab.local,lab.local,banner;http_url;technology,2,2,supporting
10.10.67.208,login.lab.local,lab.local,http_location;tls_san,1,2,high_value
10.10.48.49,auth.lab.local,lab.local,http_location;technology,3,2,high_value
10.10.51.134,docs.corp.internal,corp.internal,banner;http_url;technology,3,1,supporting
10.10.58.23,portal.corp.internal,corp.internal,http_location,1,1,high_value
10.10.57.140,admin-gateway.lab.local,lab.local,tls_san,2,1,high_value
10.10.59.224,vpn.lab.local,lab.local,http_location;technology;tls_san,1,2,high_value
10.10.71.197,git.corp.internal,corp.internal,http_url,3,2,supporting
10.10.45.103,mail.corp.internal,corp.internal,banner;http_url;technology,3,1,supporting
10.10.65.246,vpn.lab.local,lab.local,http_location;technology,2,2,high_value
10.10.51.54,ci.academy.htb,academy.htb,banner,2,1,supporting
10.10.84.37,wiki.academy.htb,academy.htb,banner;http_url;technology,3,2,supporting
10.10.79.194,apache,apache,banner;technology,2,2,noise
10.10.99.19,login.lab.local,lab.local,technology,3,1,high_value
10.10.28.113,web02.dev.lab.local,lab.local,banner;technology,3,2,supporting
10.10.79.143,portal.academy.htb,academy.htb,http_location;tls_san,2,1,high_value
10.10.15.104,vpn.dev.lab.local,lab.local,http_location;technology;tls_san,3,1,high_value
10.10.55.45,grafana.academy.htb,academy.htb,http_url;technology,3,1,supporting
10.10.42.229,default,default,technology,2,2,noise
10.10.88.251,login.lab.local,lab.local,http_location;technology;tls_san,2,2,high_value
10.10.98.244,issuer,issuer,technology,2,1,noise
10.10.86.14,grafana.academy.htb,academy.htb,http_url,1,1,supporting
10.10.23.2,auth.academy.htb,academy.htb,technology;tls_san,2,1,high_value
10.10.40.113,docs.dev.lab.local,lab.local,banner,2,2,supporting
10.10.53.104,issuer,issuer,technology,2,2,noise
10.10.33.52,cipher,cipher,banner,1,1,noise
10.10.25.230,sso.corp.internal,corp.internal,http_location;technology;tls_san,2,2,high_value
10.10.52.222,git.academy.htb,academy.htb,banner;http_url;technology,3,1,supporting
10.10.97.245,cipher,cipher,banner;technology,2,2,noise
10.10.75.175,ci.dev.lab.local,lab.local,technology,1,1,supporting
10.10.45.46,git.academy.htb,academy.htb,banner;http_url;technology,1,2,supporting
10.10.75.229,api.academy.htb,academy.htb,http_url,2,2,supporting
10.10.29.55,auth.academy.htb,academy.htb,technology,2,2,high_value
10.10.81.32,issuer,issuer,banner;technology,2,1,noise
10.10.35.30,web02.academy.htb,academy.htb,technology,2,2,supporting
10.10.47.191,dc01.dev.lab.local,lab.local,http_location;tls_san,1,1,high_value
10.10.78.168,ci.corp.internal,corp.internal,http_url;technology,1,1,supporting
10.10.27.174,grafana.academy.htb,academy.htb,banner;http_url;technology,2,2,supporting
10.10.80.168,vpn.academy.htb,academy.htb,http_location;tls_san,2,2,high_value
10.10.85.126,cipher,cipher,banner;technology,2,2,noise
10.10.98.49,nginx,nginx,banner,2,2,noise
10.10.44.220,apache,apache,technology,2,1,noise
10.10.45.202,apache,apache,banner;technology,1,2,noise
10.10.85.211,sso.academy.htb,academy.htb,http_location;tls_san,1,2,high_value
10.10.77.164,portal.academy.htb,academy.htb,http_location;technology;tls_san,3,2,high_value
10.10.12.66,vpn.corp.internal,corp.internal,technology;tls_san,2,2,high_value
10.10.65.127,web02.lab.local,lab.local,banner;http_url;technology,1,2,supporting
10.10.28.152,api.academy.htb,academy.htb,http_url,2,2,supporting
10.10.45.161,server,server,technology,2,2,noise
10.10.87.16,sso.dev.lab.local,lab.local,tls_san,1,2,high_value
10.10.28.102,localhost,localhost,banner,2,1,noise
10.10.36.207,mail.lab.local,lab.local,banner;technology,2,1,supporting
10.10.68.199,portal.dev.lab.local,lab.local,technology,2,2,high_value
10.10.74.51,sso.corp.internal,corp.internal,http_location;technology;tls_san,2,1,high_value
10.10.12.246,cipher,cipher,banner;technology,1,2,noise
10.10.54.143,ci.corp.internal,corp.internal,http_url;technology,1,2,supporting
10.10.96.175,cipher,cipher,banner;technology,2,1,noise
10.10.25.133,adfs.dev.lab.local,lab.local,http_location;tls_san,2,1,high_value
10.10.17.9,issuer,issuer,banner,1,2,noise
10.10.55.156,issuer,issuer,banner;technology,1,2,noise
10.10.76.5,api.corp.internal,corp.internal,banner;http_url;technology,2,1,supporting
10.10.15.159,sso.dev.lab.local,lab.local,http_location;technology,3,2,high_value
10.10.19.29,default,default,banner,2,2,noise
10.10.88.51,default,default,banner,1,2,noise
10.10.65.232,dc01.academy.htb,academy.htb,http_location;tls_san,1,1,high_value
10.10.76.84,dc01.lab.local,lab.local,http_location,3,2,high_value
10.10.44.198,api.corp.internal,corp.internal,banner;http_url;technology,1,2,supporting
10.10.69.86,api.academy.htb,academy.htb,banner;http_url;technology,1,2,supporting
10.10.28.42,web02.corp.internal,corp.internal,banner;http_url;technology,2,1,supporting
10.10.49.183,grafana.corp.internal,corp.internal,banner;http_url;technology,1,1,supporting
10.10.45.195,workgroup,workgroup,banner,1,1,noise
10.10.27.217,ci.lab.local,lab.local,banner;technology,3,1,supporting
10.10.91.167,sso.corp.internal,corp.internal,http_location;technology,1,2,high_value
10.10.62.175,login.academy.htb,academy.htb,technology;tls_san,1,2,high_value
10.10.63.64,auth.dev.lab.local,lab.local,http_location;tls_san,3,1,high_value
10.10.95.226,default,default,banner;technology,1,2,noise
10.10.96.85,login.academy.htb,academy.htb,http_location,1,2,high_value
10.10.15.24,web02.dev.lab.local,lab.local,banner;http_url;technology,1,2,supporting
10.10.86.252,grafana.dev.lab.local,lab.local,http_url,3,1,supporting
10.10.69.22,auth.corp.internal,corp.internal,http_location;technology;tls_san,2,2,high_value
10.10.15.119,login.lab.local,lab.local,http_location;technology;tls_san,3,2,high_value
10.10.16.192,web02.dev.lab.local,lab.local,banner,3,2,supporting
10.10.75.58,cipher,cipher,banner;technology,1,1,noise
10.10.64.87,cipher,cipher,banner,1,2,noise
10.10.30.252,default,default,banner;technology,2,2,noise
10.10.18.179,docs.academy.htb,academy.htb,banner;http_url;technology,1,1,supporting
10.10.64.231,sso.corp.internal,corp.internal,http_location,1,1,high_value
10.10.75.105,auth.dev.lab.local,lab.local,technology;tls_san,1,2,high_value
10.10.39.58,default,default,technology,1,2,noise
10.10.58.212,docs.lab.local,lab.local,http_url,3,1,supporting
10.10.48.40,api.lab.local,lab.local,technology,1,1,supporting
10.10.94.96,adfs.dev.lab.local,lab.local,technology;tls_san,2,2,high_value
10.10.22.43,nginx,nginx,banner;technology,2,2,noise
10.10.53.88,cipher,cipher,banner;technology,2,1,noise
10.10.58.234,vpn.academy.htb,academy.htb,http_location;technology;tls_san,2,1,high_value
10.10.39.20,workgroup,workgroup,banner;technology,1,1,noise
10.10.17.9,default,default,banner;technology,2,2,noise
10.10.93.245,portal.lab.local,lab.local,http_location;technology;tls_san,3,2,high_value
10.10.95.90,auth.lab.local,lab.local,http_location;technology;tls_san,2,2,high_value
10.10.11.176,login.lab.local,lab.local,http_location;tls_san,2,1,high_value
10.10.10.203,mail.corp.internal,corp.internal,banner;http_url,3,2,supporting
10.10.59.68,admin-gateway.lab.local,lab.local,technology,2,1,high_value
10.10.54.225,git.lab.local,lab.local,banner;http_url,3,1,supporting
10.10.89.176,issuer,issuer,banner;technology,1,1,noise
10.10.90.159,docs.corp.internal,corp.internal,banner,1,2,supporting
10.10.28.144,apache,apache,technology,2,1,noise
10.10.93.174,workgroup,workgroup,banner,1,2,noise
10.10.24.87,issuer,issuer,banner,2,2,noise
10.10.49.206,localhost,localhost,banner;technology,1,1,noise
10.10.83.40,grafana.lab.local,lab.local,http_url;technology,2,2,supporting
10.10.27.241,wiki.academy.htb,academy.htb,banner;http_url;technology,1,2,supporting
10.10.37.12,sso.lab.local,lab.local,http_location;technology;tls_san,3,1,high_value
10.10.79.106,nginx,nginx,banner;technology,1,1,noise
10.10.65.43,login.academy.htb,academy.htb,technology,3,2,high_value
10.10.21.207,auth.dev.lab.local,lab.local,http_location;technology;tls_san,2,2,high_value
10.10.18.130,issuer,issuer,banner,1,2,noise
10.10.35.82,default,default,banner,1,1,noise
10.10.88.50,workgroup,workgroup,banner;technology,1,2,noise
10.10.62.25,api.academy.htb,academy.htb,technology,2,2,supporting
10.10.38.37,git.lab.local,lab.local,banner;technology,3,1,supporting
10.10.20.157,auth.corp.internal,corp.internal,tls_san,1,2,high_value
10.10.95.50,server,server,technology,2,2,noise
10.10.60.137,workgroup,workgroup,banner,2,2,noise
10.10.56.50,issuer,issuer,banner;technology,1,1,noise
10.10.89.229,nginx,nginx,technology,1,1,noise
10.10.24.32,docs.dev.lab.local,lab.local,banner;http_url;technology,2,1,supporting
10.10.71.92,cipher,cipher,banner,1,1,noise
10.10.14.36,mail.dev.lab.local,lab.local,http_url;technology,1,1,supporting
10.10.80.173,wiki.lab.local,lab.local,banner;http_url,3,2,supporting
10.10.50.97,adfs.dev.lab.local,lab.local,tls_san,2,1,high_value
10.10.89.147,vpn.lab.local,lab.local,http_location;technology;tls_san,3,2,high_value
10.10.81.17,portal.academy.htb,academy.htb,http_location,3,1,high_value
10.10.76.40,api.dev.lab.local,lab.local,banner;http_url;technology,3,1,supporting
10.10.29.113,localhost,localhost,banner;technology,1,1,noise
10.10.73.10,admin-gateway.lab.local,lab.local,http_location;technology,2,1,high_value
10.10.62.149,git.dev.lab.local,lab.local,http_url,1,2,supporting
10.10.77.4,ci.corp.internal,corp.internal,banner;technology,1,2,supporting
10.10.21.217,api.dev.lab.local,lab.local,technology,3,1,supporting
10.10.90.227,api.academy.htb,academy.htb,banner;http_url;technology,2,2,supporting
10.10.33.4,sso.dev.lab.local,lab.local,http_location;tls_san,1,2,high_value
10.10.50.118,api.corp.internal,corp.internal,banner,2,1,supporting
10.10.58.82,sso.dev.lab.local,lab.local,http_location;technology,2,2,high_value
10.10.15.54,default,default,technology,1,2,noise
10.10.80.17,default,default,banner;technology,1,2,noise
10.10.76.161,dc01.dev.lab.local,lab.local,technology;tls_san,2,2,high_value
10.10.36.224,dc01.lab.local,lab.local,http_location;technology,1,1,high_value
10.10.99.209,sso.academy.htb,academy.htb,technology;tls_san,1,2,high_value
10.10.87.209,server,server,banner;technology,1,1,noise
10.10.89.221,admin-gateway.academy.htb,academy.htb,http_location;tls_san,2,1,high_value
10.10.41.54,apache,apache,banner;technology,1,1,noise
10.10.68.78,wiki.corp.internal,corp.internal,technology,3,1,supporting
10.10.40.238,api.lab.local,lab.local,banner;technology,2,2,supporting
